model_class,acc,kwargs
XGBClassifier,0.8305489260143198,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8520286396181385,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.7983293556085919,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8412887828162291,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8329355608591885,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8556085918854416,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8460620525059666,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8556085918854416,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8532219570405728,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.847255369928401,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8460620525059666,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8365155131264916,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8198090692124105,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8579952267303103,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8532219570405728,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8460620525059666,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.847255369928401,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8496420047732697,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.8460620525059666,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8544152744630071,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.7995226730310262,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8329355608591885,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 200, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8544152744630071,"{'n_estimators': 200, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8436754176610979,"{'n_estimators': 200, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8532219570405728,"{'n_estimators': 200, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 1}"
